,title,body,date,news
55,"'시진핑 집권 중간고사' 中 5중전회 개막.. ""트럼프 어찌할까""",중국 공산당 제5차 전체회의에서 대미 압박카드를 중점적으로 논의할 전망이다./사진=뉴스1 중국 공산당 제19기 중앙위원회 제5차 전체회의(5중전회) 막이 올랐다. 5중전회..., 2020.10.26 , 머니S 
56,"중원대학교, 중간고사 간식나눔 소통 '총장님이 떴다' 이벤트 실시",(괴산=국제뉴스) 이재기 기자 = 중원대학교(총장 김두년)는 중간고사 기간을 맞아 21일 오후 9시에 총장이 생활관을 깜짝 방문해 간식나눔 소통 이벤트 ‘총장님이 떴다’를..., 2020.10.22 , 국제뉴스 
57,"우석대학교, 중간고사 맞이한 학생 위해 간식 나눔 사업 펼쳐","남천현 총장과 교무위원, 총학생회 등이 참여한 가운데, 전주캠퍼스 농구장에서 중간고사 기간을 맞은 학생들에게 샌드위치와 음료를 나눠주고 격려하고 응원하는 ‘간식...", 2020.10.21 , 전북일보 
58,박준훈 교통대 총장 중간고사 간식 전달 이벤트,한국교통대학교(총장 박준훈·사진)는 지난 20일 2학기 중간고사 기간 중 대면시험을 준비하는 학생들에게 총장이 직접 간식을 전달하는 `Student First 간식 전달 이벤트..., 2020.10.21 , 충청타임즈 
59,"이화여대, 중간고사 기간 ‘든든한 이화사랑’ 행사 개최",[에듀인뉴스=한치원 기자] 이화여자대학교는 19일 중간고사 시험기간 동안 재학생들에게 간식을 제공하는 ‘든든한 이화사랑’ 프로그램을 실시했다. ‘든든한 이화사랑’은..., 2020.10.19 , 에듀인뉴스 
60,"""간식 먹고 힘내요"" 교통대 중간고사 간식 이벤트",한국교통대가 중간고사 기간 중인 20일 총장이 시험을 준비하는 학생들에게 간식을 전하는 '스튜던트 퍼스트 간식 전달 이벤트'를 가졌다. 이날 박준훈 총장과 본부 보직..., 2020.10.20 , 충청일보 
61,한국 교통대 중간고사 '간식 전달 이벤트’ 진행,[베리타스 알파=유재명 기자] 한국교통대는 20일 2학기 중간고사 기간 중 대면 시험을 준비하는 학생들에게 총장이 직접 간식을 전달하는 'Student First 간식 전달 이벤트..., 2020.10.20 , 베리타스알파 
62,"천재교육 밀크티 중학, 중간고사 시험 대비 특강 선보여",10월 중 중간고사 시험 일정을 앞두고 있는 중학교들이 많다. 사회적 거리 두기 상황에서 중간고사 시험을 생략하는 학교도 있지만 단계가 다소 완화됨에 따라 시험을..., 2020.10.12 , 데일리그리드 
63,추석 끝나면 중간고사·대학별고사·수능..연휴 고3 학습전략은,30일부터 10월4일까지 5일간 추석연휴가 시작됐다. 연휴가 끝나면 고3은 2학기 중간고사가 시작되며 곧이어 논술·면접 등 대학별 고사가 줄줄이 이어지고 12월3일 대학수학..., 2020.09.30 , 뉴시스 
64,"대교협 회장 ""10월 중간고사 후 대학 대면수업 확대 경향""","대교협) 김인철 회장(한국외대 총장)이 13일 ""(대학들이) 전반적으로 10월3주차 중간고사 이후 대면수업을 확대하는 경향이 뚜렷하다""고 밝혔다. 김인철 회장은 이날 오전...", 2020.10.13 , 머니투데이 
