,ver,hor,y
520,6.67E-01,6.48E-01,0.00E+00
521,5.71E-01,6.10E-01,0.00E+00
522,6.54E-01,6.45E-01,0.00E+00
523,6.41E-01,6.32E-01,0.00E+00
524,5.71E-01,6.23E-01,0.00E+00
525,5.55E-01,6.18E-01,0.00E+00
526,6.26E-01,6.61E-01,0.00E+00
527,5.93E-01,6.20E-01,0.00E+00
528,5.71E-01,6.28E-01,0.00E+00
529,5.36E-01,6.39E-01,0.00E+00
530,5.19E-01,6.49E-01,0.00E+00
531,5.36E-01,6.31E-01,0.00E+00
532,5.71E-01,6.12E-01,0.00E+00
533,6.65E-01,6.58E-01,0.00E+00
534,7.08E-01,6.23E-01,0.00E+00
535,6.41E-01,6.61E-01,0.00E+00
536,6.41E-01,6.35E-01,0.00E+00
537,6.54E-01,6.88E-01,0.00E+00
538,6.29E-01,6.39E-01,0.00E+00
539,5.93E-01,6.31E-01,0.00E+00
540,6.25E-01,6.26E-01,0.00E+00
541,6.15E-01,6.32E-01,0.00E+00
542,5.33E-01,6.23E-01,0.00E+00
543,5.71E-01,5.95E-01,0.00E+00
544,5.71E-01,6.39E-01,0.00E+00
545,6.43E-01,6.47E-01,0.00E+00
546,5.50E-01,6.30E-01,0.00E+00
547,5.00E-01,6.08E-01,0.00E+00
548,5.17E-01,6.10E-01,0.00E+00
549,6.41E-01,6.18E-01,0.00E+00
550,4.64E-01,6.31E-01,0.00E+00
551,5.36E-01,6.10E-01,0.00E+00
552,6.29E-01,6.53E-01,0.00E+00
553,5.38E-01,6.23E-01,0.00E+00
554,5.19E-01,6.07E-01,0.00E+00
555,6.21E-01,6.53E-01,0.00E+00
556,5.93E-01,6.36E-01,0.00E+00
557,5.93E-01,6.16E-01,0.00E+00
558,6.15E-01,6.10E-01,0.00E+00
559,6.65E-01,6.53E-01,0.00E+00
560,6.15E-01,6.23E-01,0.00E+00
561,5.91E-01,6.35E-01,0.00E+00
562,5.36E-01,6.26E-01,0.00E+00
563,6.15E-01,6.39E-01,0.00E+00
564,5.55E-01,6.36E-01,0.00E+00
565,5.36E-01,6.04E-01,0.00E+00
566,6.79E-01,6.22E-01,0.00E+00
567,5.19E-01,5.86E-01,0.00E+00
568,5.17E-01,5.91E-01,0.00E+00
569,5.71E-01,5.92E-01,0.00E+00
570,6.54E-01,6.56E-01,0.00E+00
571,5.91E-01,6.45E-01,0.00E+00
572,6.32E-01,6.39E-01,0.00E+00
573,6.32E-01,6.34E-01,0.00E+00
574,5.00E-01,6.18E-01,0.00E+00
575,5.99E-01,6.40E-01,0.00E+00
576,5.71E-01,6.16E-01,0.00E+00
577,5.00E-01,6.08E-01,0.00E+00
578,5.00E-01,6.26E-01,0.00E+00
579,6.54E-01,6.67E-01,0.00E+00
580,6.54E-01,6.53E-01,0.00E+00
581,7.08E-01,6.18E-01,0.00E+00
582,6.54E-01,6.39E-01,0.00E+00
583,6.15E-01,6.23E-01,0.00E+00
584,5.55E-01,6.13E-01,0.00E+00
585,7.21E-01,6.70E-01,0.00E+00
586,5.67E-01,6.17E-01,0.00E+00
587,6.07E-01,6.29E-01,0.00E+00
588,6.15E-01,6.44E-01,0.00E+00
589,5.36E-01,6.10E-01,0.00E+00
590,4.67E-01,6.20E-01,0.00E+00
591,5.86E-01,6.61E-01,0.00E+00
592,5.93E-01,6.18E-01,0.00E+00
593,6.65E-01,6.70E-01,0.00E+00
594,6.10E-01,6.34E-01,0.00E+00
595,5.36E-01,6.12E-01,0.00E+00
596,5.93E-01,6.28E-01,0.00E+00
597,5.93E-01,6.17E-01,0.00E+00
598,6.15E-01,6.23E-01,0.00E+00
599,5.58E-01,6.18E-01,0.00E+00
600,5.16E-01,6.05E-01,0.00E+00
601,5.93E-01,6.26E-01,0.00E+00
602,5.83E-01,7.03E-01,0.00E+00
603,5.36E-01,6.45E-01,0.00E+00
604,5.93E-01,6.13E-01,0.00E+00
605,7.18E-01,6.66E-01,0.00E+00
606,6.54E-01,6.43E-01,0.00E+00
