,title
233,"연세대, 코로나19 재확산에 2학기 중간고사까지 온라인 수업"
234,"서먹했던 분위기, '통일 에코백'으로 좁혔다"
235,"광주교육청, 중간고사 못치르면 기말고사로 성적 대체"
236,'줌터디' '원룸 공부방'..언택트시대 20대의 공부법
237,"'펜트하우스' 고아 조수민 성악과 수석입학, 금수저들 분노 '폭행..."
238,"'신박한 정리' 홍석천X딸 주은, ""선물 받은 느낌""..갤러리 같은 ..."
239,"[인터뷰] K타이거즈 제로 ""우리는 태권도 기반 남녀 혼성그룹, 퍼..."
240,"""밖으로 나갈 힘 얻었다""..홍석천, 까다로운 그도 만족시킨 '신박..."
241,학원강사·쇼핑센터 직원 확진..거리두기 완화 1주일 100명 안팎
242,"대구대학교, 청년고용행사 ‘A+ JOB GO’ 개최"
243,"대구대, 청년고용정책 홍보 'A+ JOB GO' 개최"
244,"광주교육청 ""중간고사 못 치르면 기말고사로 대체"""
245,"포항대, 시험기간 중 간식 지원 '학생 응원'"
246,'이태원 가게 접은' 홍석천 '신박한 정리'서 인생 2막 새출발
248,[EDU Journal] 코로나 수능은 실수와의 싸움이다
249,'턱스크' 한채 330㎡ 공간에 260명 뒤엉켜.. '핼러윈 악몽' 먹구름
250,"취업시장은 '꽁꽁', 청년 취업의지는 '단단'"
251,"대치동 수학학원 대맥 수강생, ‘내신 반타작’에서 ‘수학 점수 ..."
252,"""수능 한달여 앞두고"" .. 대치동 학원가 60명 자가격리 '방역 비상'"
253,본과 4학년생의 솔직한 이야기
254,"[종합]""큰 선물 받았다"" 홍석천의 2막을 여는 '신박한 정리'의 힘"
255,밀폐된 지하공간에 260여명 다닥다닥..핼러윈 앞두고 방역 '초비상'
256,"정재승 ""ABC 학점 없앤 이유? 줄세우면 어차피 AI가 1등"""
258,"""이태원 클럽가요"" 핼러윈 축제, 코로나19 복병될까"
259,"이준석 ""윤석열 전략 옳았다..추미애, 수세 몰릴 것"""
260,코로나19 여파..중간고사 미실시 학교 잇따라
261,"이화여대, '든든한 이화사랑' 프로그램 실시"
262,"""중등인강으로 일대일 학습관리"", 천재교육 밀크티 중학"
263,코로나19 속 자유학년제 수업 이렇게..'수업나눔 콘서트'
264,확진 대치동 학원강사 미등록 교습소서도 수업..8개 중·고교 62...
