,title,body,date,news
314,"유한대학교, 기말고사 및 취업준비에 지친 재학생 격려","유한대학교(총장 이권현)는 기말고사 기간을 맞아 12월 8일 학생식당 중앙로비에서 500인분의 간식꾸러미(핫팩, 귤, 도너츠, 견과류 등)와 제주도 농민을 돕는자 취지로 귤...", 2015.12.10 , 굿데일리 
315,"인하대, 대면·비대면 기말고사 병행 실시...“부정행위 철저 확인”",기자]인하대학교 인하대학교(총장 조명우)가 대면·비대면으로 치르는 올해 1학기 기말고사를 앞두고 철저한 방역 대책과 함께 부정행위 방지 대책을 내놨다. 기말고사 기간..., 2020.06.10 , 뉴스웨이 
316,"가톨릭대, 2020학년도 1학기 기말고사 온·오프라인 순조롭게 진행",[대학저널 신효송 기자] 가톨릭대학교(총장 원종철)가 2020학년도 1학기 기말고사를 온·오프라인으로 순조롭게 진행하고 있다. 가톨릭대는 온라인 시험이 불가피한 약 14.6...,,
317,온라인 시험감독 시스템 도입한 국민대 기말고사 풍경,[한국대학신문 한명섭 기자] 대학가 기말고사가 시작된 가운데 비대면 기말고사를 치르는 국민대학교(총장 임홍재)가 '모니토'라는 온라인 시험감독 시스템을 활용해 부정..., 2020.06.18 , 한국대학신문 
318,"""한 학기에 과제 43개..자습만 하다 기말시험"" 대학생 분통","시간도 없는데 기말고사 준비까지 해야 한다는 학생의 넋두리에 공감하는 댓글이 줄을...채점도 하지 않고 피드백도 없다""며 ""대학교 수업이 설명이라도 해주는 '구몬수업...", 2020.06.15 , 연합뉴스 
319,"""한 학기에 과제만 43개"".. 기말시험 앞둔 대학생 '분통'","기말고사 준비까지 해야 한다는 학생의 넋두리에 공감하는 댓글이 줄을 이었습니다...채점도 하지 않고 피드백도 없다""며 ""대학교 수업이 설명이라도 해주는 '구몬수업'보다...",,
320,"중앙대, 기말고사 ‘비대면 전환’…“건강이 무엇보다 우선”",신문 박대호 기자] 중앙대학교(총장 박상규)가 당초 대면시험으로 치를 예정이던 기말고사를 비대면으로 전환했다. 박상규 중앙대 총장은 2일 발표한 ‘2020학년도 1..., 2020.06.02 , 한국대학신문 
321,`기말고사 대면 시행은 어떻게？` 건국대 수학대회 개최,"건국대학교 수의과대학이 5월 28일(목) ‘수의과대학 학생 대표자 회의(이하 수학대회...상반기 정기총회 대체 방안 논의, 기말고사 대면 시행에 대한 논의, 폐회 선언 순...", 2020.06.17 , 데일리벳 
322,직원에게 기말고사 대신 시험 치르게 한 안전인증기관 이사장 벌금형,"B 씨에게 자신의 공인인증서가 담긴 USB 장치를 주고, 서울의 한 사이버대학교 소방방재학과 기말고사 시험을 대신 치르게 한 혐의를 받습니다. A 씨는 또 지난 5월, B 씨...", 2020.02.07 , KBS 
323,"연세대 ""1학기 기말고사 절대평가 원칙 유지할 것""",연세대학교 전경 (연세대 제공) 2018.1.3/뉴스1 © News1 (서울=뉴스1) 한유주 기자...를 받아들이지 않기로 했다. 학기말 고사가 임박한 시점에서 평가제도를 변경하는 것은..., 2020.06.15 , 뉴스1 
324,"서울대 학생들, 기말고사 전면 비대면 촉구...학교 ""변동사항 없다""","이학준 기자 = 서울대학교 학생들이 코로나19 확산 여파로 2020학년도 1학기 기말고사를 전면 비대면으로 실시할 것을 촉구했다. 다만 서울대는 ""변동사항이 없다""고 했다...", 2020.06.03 , 뉴스핌 
325,"대학 집단커닝, 기말고사 앞둔 대학가는 고민중","마련했다. 한국외대는 대면 방식 기말고사를 원칙으로 삼으려다가 이태원 클럽발 코로나...커닝 문제의 시발점이 된 인하대학교 의과대학의 경우 지난 3월 12일과 22일, 4월...", 2020.06.03 , 재경일보 
